geration,id,w1,w2,w3,averageScore,winRate,scores
4,0,-5.215824926329455,16.53581306219297,-1.579410143738869,617.5,0.1,"[196.0, 2268.0, 528.0, 264.0, 467.0, -302.0, 417.0, 333.0, 734.0, 1270.0]"
4,1,-8.728377011118988,15.20316429599817,-8.553910845322399,593.5,0.2,"[2342.0, -252.0, -396.0, 1716.0, 58.0, 740.0, 935.0, 201.0, 297.0, 294.0]"
4,2,-2.3434730844684197,16.53581306219297,-1.579410143738869,1059.2,0.4,"[1776.0, 147.0, 2286.0, -62.0, 2208.0, 2281.0, 409.0, 21.0, 526.0, 1000.0]"
4,3,-4.585401822500259,14.510739012648209,-8.994570624939925,588.5,0.2,"[-44.0, -172.0, 88.0, 245.0, 650.0, 151.0, 579.0, 2321.0, 43.0, 2024.0]"
4,4,-4.585401822500259,14.510739012648209,-8.022980931705462,910.6,0.3,"[315.0, -293.0, 941.0, 158.0, 2029.0, 1868.0, 2604.0, -250.0, 230.0, 1504.0]"
4,5,-5.215824926329455,15.20316429599817,-9.517646117388734,1236.5,0.3,"[930.0, 235.0, 2227.0, 579.0, 2605.0, 1439.0, 1740.0, 997.0, 1158.0, 455.0]"
4,6,-8.728377011118988,16.66002517164342,-1.579410143738869,557.8,0.1,"[544.0, 59.0, 536.0, 129.0, 737.0, 1075.0, 2333.0, -32.0, -261.0, 458.0]"
4,7,-2.3434730844684197,14.30337738127029,-8.994570624939925,1183.9,0.3,"[1510.0, 45.0, 1557.0, 491.0, 136.0, 2296.0, 850.0, 2230.0, 543.0, 2181.0]"
4,8,-4.085693735184789,14.510739012648209,-8.022980931705462,685.6,0.1,"[1036.0, -70.0, 632.0, -220.0, 1780.0, 2183.0, 1448.0, -212.0, 448.0, -169.0]"
4,9,-4.902995119040187,16.53581306219297,-1.579410143738869,1284.5,0.4,"[-79.0, 844.0, 952.0, 970.0, 2519.0, 486.0, 2335.0, 1985.0, 790.0, 2043.0]"
4,10,-5.842851428658601,15.20316429599817,-8.553910845322399,534.7,0.2,"[2174.0, 226.0, -835.0, 446.0, 1059.0, -215.0, 1853.0, 342.0, 446.0, -149.0]"
4,11,-8.728377011118988,16.53581306219297,-2.2715572984143675,661.6,0.1,"[93.0, 289.0, 446.0, 146.0, 1230.0, 1089.0, 154.0, 541.0, 2233.0, 395.0]"
4,12,-2.442729596711745,14.510739012648209,-8.994570624939925,1257.7,0.4,"[2272.0, 2243.0, 2273.0, 2225.0, 568.0, -32.0, 1185.0, 771.0, 869.0, 203.0]"
4,13,-4.714864898667441,14.510739012648209,-8.022980931705462,1432.6,0.5,"[2296.0, 263.0, 2087.0, 445.0, 333.0, 441.0, 2781.0, 2264.0, 880.0, 2536.0]"
4,14,-4.585401822500259,17.498409138548947,-1.579410143738869,1230.7,0.4,"[2087.0, 1035.0, 2107.0, 737.0, 2231.0, 495.0, 303.0, 1985.0, 956.0, 371.0]"
5,0,-4.714864898667441,14.510739012648209,-8.022980931705462,976.1,0.1,"[1280.0, 966.0, 919.0, 1073.0, 463.0, 34.0, 1133.0, 2239.0, 712.0, 942.0]"
5,1,-4.902995119040187,16.53581306219297,-1.579410143738869,1212.8,0.3,"[1117.0, 2275.0, 1069.0, 13.0, 983.0, -5.0, 2221.0, 2540.0, 1126.0, 789.0]"
5,2,-2.442729596711745,14.510739012648209,-8.994570624939925,995.4,0.2,"[811.0, 2171.0, 1955.0, 362.0, 1264.0, 1065.0, 532.0, 1117.0, 408.0, 269.0]"
5,3,-5.215824926329455,15.20316429599817,-9.517646117388734,1264.8,0.4,"[2137.0, 2351.0, 416.0, 880.0, 915.0, 2196.0, 1901.0, 609.0, 1218.0, 25.0]"
5,4,-4.585401822500259,17.498409138548947,-1.579410143738869,728.8,0.2,"[-256.0, 918.0, -97.0, 1440.0, 14.0, 663.0, 280.0, 2234.0, 847.0, 1245.0]"
5,5,-4.294326942021102,16.53581306219297,-1.579410143738869,1118.7,0.3,"[1152.0, 1445.0, 415.0, 2190.0, 849.0, 697.0, 536.0, 1842.0, 1749.0, 312.0]"
5,6,-4.902995119040187,14.510739012648209,-8.328205951422548,1025.8,0.2,"[1439.0, 1220.0, 1261.0, 2065.0, 2414.0, 537.0, -90.0, 771.0, 32.0, 609.0]"
5,7,-2.442729596711745,15.20316429599817,-9.190658132323318,1082.2,0.2,"[1459.0, 701.0, 265.0, 2134.0, 1134.0, 2050.0, 959.0, 709.0, 674.0, 737.0]"
5,8,-5.215824926329455,17.498409138548947,-1.2023775706278645,1418.4,0.5,"[-32.0, 2031.0, 467.0, 1127.0, 2483.0, 1968.0, 1062.0, 212.0, 2226.0, 2640.0]"
5,9,-4.585401822500259,15.136698755635193,-8.022980931705462,961.5,0.3,"[1051.0, 1670.0, 2016.0, 836.0, 170.0, 849.0, 122.0, 132.0, 2403.0, 366.0]"
5,10,-4.714864898667441,17.151821531199563,-1.579410143738869,1032.1,0.4,"[2007.0, 554.0, 2002.0, 2129.0, 1894.0, 1105.0, -302.0, -12.0, 942.0, 2.0]"
5,11,-4.902995119040187,14.510739012648209,-9.357921038845873,1042.4,0.3,"[2147.0, 2212.0, -148.0, 2305.0, 356.0, 411.0, 992.0, 1058.0, 1022.0, 69.0]"
5,12,-2.442729596711745,14.86837357192104,-9.517646117388734,1046.3,0.2,"[843.0, 1091.0, 2196.0, -133.0, 1160.0, 431.0, 2372.0, 570.0, 1059.0, 874.0]"
5,13,-5.215824926329455,16.745752518418772,-1.579410143738869,1350.2,0.4,"[2490.0, 2565.0, 2172.0, 835.0, 676.0, 985.0, 2284.0, 401.0, 847.0, 247.0]"
5,14,-4.585401822500259,14.827864466483934,-8.022980931705462,756.2,0.2,"[735.0, 2402.0, 652.0, 1728.0, 346.0, 543.0, 125.0, -195.0, 798.0, 428.0]"
6,0,-5.215824926329455,17.498409138548947,-1.2023775706278645,1477.4,0.5,"[731.0, 2313.0, 544.0, 2530.0, 2292.0, 2196.0, 980.0, 1894.0, 1182.0, 112.0]"
6,1,-5.215824926329455,16.745752518418772,-1.579410143738869,783.9,0.1,"[1016.0, 414.0, 446.0, 911.0, 838.0, 691.0, -20.0, 1863.0, 700.0, 980.0]"
6,2,-5.215824926329455,15.20316429599817,-9.517646117388734,946.9,0.4,"[-52.0, 2367.0, 2212.0, -251.0, 272.0, 1390.0, -23.0, 913.0, 2343.0, 298.0]"
6,3,-4.902995119040187,16.53581306219297,-1.579410143738869,1586.9,0.6,"[284.0, 1753.0, 519.0, 2196.0, 979.0, 2284.0, 2034.0, 1052.0, 2359.0, 2409.0]"
6,4,-4.294326942021102,16.53581306219297,-1.579410143738869,1090.5,0.4,"[334.0, 40.0, 2101.0, 1048.0, 443.0, 1632.0, -356.0, 1018.0, 2413.0, 2232.0]"
6,5,-5.336136146811759,16.745752518418772,-1.579410143738869,1189.1,0.3,"[1212.0, 875.0, 509.0, 346.0, 2796.0, 2336.0, 554.0, 2058.0, 46.0, 1159.0]"
6,6,-6.1298632300751645,15.20316429599817,-9.517646117388734,790.4,0.3,"[2242.0, -266.0, 1149.0, -161.0, 274.0, -107.0, 786.0, 224.0, 1941.0, 1822.0]"
6,7,-5.215824926329455,16.53581306219297,-2.2893462465045147,1357.3,0.5,"[838.0, 2061.0, 1027.0, 2266.0, 68.0, 2157.0, 2277.0, 101.0, 2324.0, 454.0]"
6,8,-4.902995119040187,15.94631067887741,-1.579410143738869,675.2,0.1,"[110.0, 1076.0, 954.0, 427.0, 1723.0, 852.0, 220.0, 249.0, 1149.0, -8.0]"
6,9,-4.294326942021102,17.498409138548947,-0.6319098097335558,1490.6,0.6,"[2295.0, 919.0, 2282.0, 143.0, 1357.0, 2189.0, 269.0, 2036.0, 1157.0, 2259.0]"
6,10,-4.226158019167037,16.745752518418772,-1.579410143738869,887.0,0.2,"[514.0, 2097.0, 1299.0, 541.0, 1111.0, 555.0, -85.0, -65.0, 2152.0, 751.0]"
6,11,-5.215824926329455,15.22726592132098,-9.517646117388734,935.7,0.2,"[1204.0, -241.0, 627.0, 2180.0, 643.0, 1380.0, 2056.0, -167.0, 942.0, 733.0]"
6,12,-6.053818533101104,16.53581306219297,-1.579410143738869,1059.4,0.2,"[885.0, 2420.0, 324.0, 2392.0, 377.0, 906.0, 574.0, 660.0, 958.0, 1098.0]"
6,13,-4.902995119040187,16.53581306219297,-0.9601731776883267,839.0,0.2,"[569.0, 1.0, 2095.0, 394.0, 1451.0, 1394.0, -144.0, -180.0, 2269.0, 541.0]"
6,14,-4.294326942021102,16.9737401328004,-1.2023775706278645,892.1,0.2,"[1720.0, 422.0, 326.0, 536.0, 2152.0, 566.0, 1001.0, 460.0, 759.0, 979.0]"
7,0,-4.902995119040187,16.53581306219297,-1.579410143738869,1439.4,0.4,"[1753.0, 1215.0, 1457.0, 2235.0, 2051.0, -163.0, 450.0, 2245.0, 2111.0, 1040.0]"
7,1,-4.294326942021102,17.498409138548947,-0.6319098097335558,1732.4,0.7,"[590.0, 821.0, 2071.0, 1811.0, 1308.0, 2239.0, 1554.0, 2288.0, 2207.0, 2435.0]"
7,2,-5.215824926329455,17.498409138548947,-1.2023775706278645,890.8,0.3,"[691.0, 331.0, 300.0, 2105.0, 596.0, -302.0, 684.0, 1727.0, 844.0, 1932.0]"
7,3,-5.215824926329455,16.53581306219297,-2.2893462465045147,716.1,0.2,"[1085.0, 1941.0, -302.0, 385.0, 2196.0, 743.0, 101.0, -222.0, 823.0, 411.0]"
7,4,-5.336136146811759,16.745752518418772,-1.579410143738869,1398.2,0.4,"[939.0, 829.0, 2379.0, 869.0, 2528.0, -8.0, 2338.0, 875.0, 2149.0, 1084.0]"
7,5,-4.902995119040187,17.233807770157874,-0.6319098097335558,1710.4,0.7,"[2246.0, 1546.0, 762.0, 2187.0, 915.0, 1780.0, 1880.0, 2335.0, 2010.0, 1443.0]"
7,6,-4.294326942021102,17.498409138548947,-0.602594702935205,1235.5,0.3,"[1546.0, 2196.0, 725.0, 53.0, 1339.0, 592.0, 288.0, 2289.0, 2184.0, 1143.0]"
7,7,-5.215824926329455,16.112476983091977,-2.2893462465045147,863.2,0.2,"[1520.0, 646.0, 986.0, 136.0, 1140.0, 896.0, 184.0, 2438.0, 636.0, 50.0]"
